book_id,title,author,category_id,description,cover_image,publication_year,category_name
B1,Introduction to AI,John Smith,C1,A comprehensive guide to artificial intelligence,https://covers.openlibrary.org/b/id/8114151-M.jpg,2024,Mystery
B2,Data Science Fundamentals,Maria Garcia,C1,Learn the basics of data science,https://covers.openlibrary.org/b/id/8402216-M.jpg,2023,Science
B3,The Art of Programming,David Lee,C2,Master the art of coding,https://covers.openlibrary.org/b/id/8268506-M.jpg,2024,
B4,Web Development Guide,Sarah Johnson,C2,Complete guide to modern web development,https://covers.openlibrary.org/b/id/8711841-M.jpg,2025,
B5,Machine Learning Basics,James Wilson,C1,Introduction to machine learning concepts,https://covers.openlibrary.org/b/id/8091017-M.jpg,2024,
B6,Database Design,Michael Brown,C2,Learn database architecture and design,https://covers.openlibrary.org/b/id/8315302-M.jpg,2023,
B7,Python Programming,Lisa Chen,C2,Master Python programming language,https://covers.openlibrary.org/b/id/8426432-M.jpg,2025,
B8,Digital Marketing,Emma Davis,C3,Modern digital marketing strategies,https://covers.openlibrary.org/b/id/8567123-M.jpg,2024,
B9,Business Analytics,Robert Taylor,C3,Data-driven business decisions,https://covers.openlibrary.org/b/id/8678234-M.jpg,2025,
B10,Cybersecurity Essentials,Alex Martinez,C4,Fundamentals of information security,https://covers.openlibrary.org/b/id/8789345-M.jpg,2024,
B11,Cloud Computing,Olivia Hernandez,C4,Introduction to cloud technologies,https://covers.openlibrary.org/b/id/8890456-M.jpg,2023,
B12,Project Management Basics,Daniel Lopez,C3,Essential project management skills,https://covers.openlibrary.org/b/id/8901567-M.jpg,2025,
